id,Listening_Time_minutes
750000,53.92451
750001,19.291328
750002,49.409676
750003,85.21356
750004,47.46877
750005,24.63833
750006,84.80495
750007,38.426456
750008,72.16037
750009,70.82753
750010,14.015009
750011,24.74493
750012,33.073353
750013,47.31041
750014,47.6646
750015,58.869076
750016,45.836983
750017,34.112366
750018,60.326588
750019,41.584553
750020,36.748936
750021,58.686615
750022,78.78938
750023,29.887848
750024,58.445488
750025,46.724934
750026,11.971415
750027,26.774242
750028,41.548935
750029,40.061504
750030,37.046223
750031,35.69739
750032,13.468054
750033,59.28014
750034,23.692026
750035,20.569061
750036,15.332567
750037,38.42893
750038,24.910294
750039,25.09903
750040,15.858973
750041,85.429565
750042,68.522415
750043,71.79056
750044,51.326275
750045,20.6663
750046,14.644417
750047,50.296314
750048,15.796909
750049,8.418715
750050,86.2958
750051,25.718624
750052,42.34229
750053,82.909485
750054,14.109352
750055,16.725666
750056,70.405655
750057,56.56128
750058,19.571753
750059,42.093876
750060,47.23267
750061,32.582684
750062,67.58056
750063,75.82887
750064,46.473118
750065,17.45587
750066,65.02199
750067,41.83964
750068,56.91049
750069,43.71886
750070,35.02534
750071,41.38717
750072,46.652306
750073,26.743427
750074,38.534924
750075,89.30374
750076,15.309984
750077,12.999582
750078,77.58051
750079,81.73364
750080,44.047638
750081,100.36468
750082,16.803902
750083,76.03414
750084,76.38857
750085,62.69106
750086,56.302933
750087,88.38197
750088,13.260752
750089,45.35309
750090,60.513546
750091,80.04471
750092,34.55479
750093,34.61704
750094,51.688297
750095,31.253632
750096,5.4527774
750097,28.69706
750098,34.52157
750099,13.773506
750100,46.658443
750101,46.02496
750102,47.846874
750103,43.908394
750104,34.967785
750105,33.9391
750106,30.851028
750107,88.1463
750108,59.139194
750109,38.961178
750110,50.90356
750111,22.435308
750112,6.0055604
750113,75.25211
750114,55.018444
750115,79.98349
750116,87.185745
750117,71.43808
750118,46.95722
750119,24.11226
750120,3.372136
750121,54.750248
750122,80.4049
750123,61.09203
750124,36.95388
750125,23.41485
750126,64.165184
750127,2.348907
750128,5.9487243
750129,18.682121
750130,43.42316
750131,31.959465
750132,4.0726385
750133,46.25968
750134,75.890564
750135,31.726463
750136,41.443245
750137,12.125597
750138,88.45111
750139,60.018284
750140,53.264706
750141,50.047047
750142,48.273785
750143,30.823866
750144,59.627754
750145,56.289703
750146,74.77237
750147,66.899536
750148,48.892418
750149,7.633989
750150,26.868023
750151,46.776436
750152,53.963123
750153,45.8115
750154,58.95377
750155,16.47501
750156,3.4415445
750157,65.34109
750158,20.12698
750159,36.274845
750160,56.995907
750161,43.49403
750162,56.902546
750163,18.224491
750164,79.3654
750165,81.35765
750166,75.98721
750167,86.810486
750168,58.164593
750169,42.23203
750170,54.763203
750171,39.912388
750172,3.5645237
750173,36.64252
750174,38.15318
750175,61.56916
750176,106.45027
750177,85.19339
750178,42.40952
750179,4.7010627
750180,90.9089
750181,43.315525
750182,98.318115
750183,35.929108
750184,86.10329
750185,32.70993
750186,80.40491
750187,45.34173
750188,13.964563
750189,21.517365
750190,55.368656
750191,28.962147
750192,35.474808
750193,29.83593
750194,44.56736
750195,49.620426
750196,28.694185
750197,8.965981
750198,21.34714
750199,38.164913
750200,43.80015
750201,71.27373
750202,36.660267
750203,53.58105
750204,63.935238
750205,31.69286
750206,19.616982
750207,51.806896
750208,34.9454
750209,44.22421
750210,53.553905
750211,52.91947
750212,57.602512
750213,61.99452
750214,33.986332
750215,66.60563
750216,73.8498
750217,50.42416
750218,9.712217
750219,36.013348
750220,44.743324
750221,30.716415
750222,37.70725
750223,34.574184
750224,69.37016
750225,4.3746285
750226,82.35945
750227,71.136856
750228,37.59979
750229,27.950958
750230,42.17763
750231,28.465092
750232,53.757317
750233,66.77843
750234,24.821724
750235,22.37704
750236,45.083492
750237,34.366146
750238,26.178455
750239,20.90133
750240,83.10445
750241,77.268745
750242,18.254433
750243,45.596966
750244,17.526587
750245,47.028206
750246,44.57307
750247,87.298355
750248,16.218922
750249,87.46907
750250,52.497776
750251,32.556717
750252,45.682514
750253,80.075134
750254,43.72868
750255,27.767899
750256,47.521023
750257,32.258137
750258,9.868019
750259,24.454727
750260,38.24905
750261,49.25191
750262,58.69955
750263,59.83709
750264,28.266504
750265,78.563545
750266,14.105103
750267,20.316158
750268,4.8241034
750269,7.0717344
750270,44.224754
750271,59.620735
750272,3.332791
750273,32.318718
750274,45.503056
750275,60.686424
750276,61.323593
750277,10.999159
750278,41.524242
750279,21.610067
750280,44.326534
750281,45.786427
750282,59.56385
750283,74.57305
750284,46.853638
750285,35.164425
750286,5.755402
750287,74.651245
750288,32.533092
750289,8.892173
750290,58.265324
750291,55.480713
750292,75.19874
750293,77.95695
750294,46.85738
750295,49.08907
750296,29.56536
750297,12.682188
750298,49.558674
750299,82.05423
750300,48.69588
750301,14.38154
750302,34.43085
750303,16.425964
750304,41.359577
750305,86.272385
750306,48.32573
750307,17.353466
750308,60.924255
750309,17.680765
750310,16.093685
750311,61.95082
750312,47.06605
750313,76.07799
750314,64.31705
750315,3.1353712
750316,80.11728
750317,43.912434
750318,23.812391
750319,24.493711
750320,42.70086
750321,31.495304
750322,43.477283
750323,67.18234
750324,72.80989
750325,58.591335
750326,34.878933
750327,50.11894
750328,21.87389
750329,66.34661
750330,79.4477
750331,29.910412
750332,17.552874
750333,15.900875
750334,24.992325
750335,59.901363
750336,37.809803
750337,84.55098
750338,38.321125
750339,80.08547
750340,32.476437
750341,14.76107
750342,36.5818
750343,16.144478
750344,25.77378
750345,48.630325
750346,80.45039
750347,93.73066
750348,56.705612
750349,18.735765
750350,81.46508
750351,22.433846
750352,75.64308
750353,43.630566
750354,61.87211
750355,38.059155
750356,87.957825
750357,38.890068
750358,69.08673
750359,46.959713
750360,75.024155
750361,46.325344
750362,17.011265
750363,73.21823
750364,31.35017
750365,88.70997
750366,39.743206
750367,69.502426
750368,71.17821
750369,56.06235
750370,72.03061
750371,19.709976
750372,51.512165
750373,20.489578
750374,58.651608
750375,46.837154
750376,17.625935
750377,67.13194
750378,48.33215
750379,9.565372
750380,20.12392
750381,17.298075
750382,76.7532
750383,42.21002
750384,83.17162
750385,41.96111
750386,41.19528
750387,9.447208
750388,22.904236
750389,22.603304
750390,41.25449
750391,22.775845
750392,71.38052
750393,9.724886
750394,60.352516
750395,63.903496
750396,43.007168
750397,14.920021
750398,78.058586
750399,35.079464
750400,15.623669
750401,80.81632
750402,81.84246
750403,18.514685
750404,18.269115
750405,18.42958
750406,20.44804
750407,39.74466
750408,71.102905
750409,19.671238
750410,51.281345
750411,36.077744
750412,26.219746
750413,37.242664
750414,51.34653
750415,44.877823
750416,73.366714
750417,67.406136
750418,32.520164
750419,34.140392
750420,45.3726
750421,48.668842
750422,8.205221
750423,44.450687
750424,50.221027
750425,74.00299
750426,67.05234
750427,3.6631145
750428,88.558685
750429,2.1971421
750430,67.000015
750431,45.83601
750432,52.164135
750433,23.917437
750434,5.8251767
750435,76.96426
750436,58.506943
750437,46.976486
750438,50.285236
750439,16.77313
750440,39.502457
750441,1.8605242
750442,77.81194
750443,64.52094
750444,41.08016
750445,79.570175
750446,46.326344
750447,66.124626
750448,49.140564
750449,23.429663
750450,75.52158
750451,80.18273
750452,81.07445
750453,24.106367
750454,40.29253
750455,68.86241
750456,6.7484713
750457,29.684504
750458,46.329117
750459,19.156372
750460,10.026205
750461,86.870964
750462,53.919514
750463,86.311226
750464,40.719807
750465,74.408936
750466,6.271569
750467,41.684856
750468,47.228237
750469,18.688156
750470,58.933617
750471,19.638678
750472,48.030582
750473,14.743313
750474,27.580685
750475,2.9765315
750476,15.526617
750477,0.91673285
750478,35.050106
750479,15.948095
750480,5.4386544
750481,49.87459
750482,86.71533
750483,49.663235
750484,80.803314
750485,43.64453
750486,68.3958
750487,73.05242
750488,28.74953
750489,82.98797
750490,62.81788
750491,33.658997
750492,46.24
750493,32.49267
750494,83.310394
750495,46.227875
750496,82.617424
750497,32.555847
750498,5.864057
750499,65.68702
750500,32.934475
750501,11.688021
750502,64.07203
750503,45.24047
750504,67.21407
750505,49.56612
750506,58.48768
750507,7.169067
750508,3.8949106
750509,44.480076
750510,62.17089
750511,35.74102
750512,3.1867065
750513,29.373005
750514,61.909706
750515,5.063984
750516,2.4724667
750517,48.67683
750518,74.638504
750519,67.78083
750520,28.428827
750521,83.15861
750522,43.68765
750523,7.787523
750524,65.396675
750525,29.240112
750526,46.4951
750527,12.09977
750528,67.809784
750529,87.71312
750530,37.61896
750531,39.08789
750532,53.14634
750533,54.974564
750534,28.000017
750535,2.760168
750536,9.996281
750537,42.729786
750538,48.478424
750539,76.04412
750540,26.215385
750541,42.106167
750542,89.0414
750543,70.16131
750544,26.183796
750545,69.62128
750546,60.654358
750547,51.615593
750548,38.63265
750549,63.988167
750550,39.854713
750551,83.45776
750552,56.11573
750553,23.422327
750554,38.681385
750555,40.49466
750556,31.705685
750557,66.054855
750558,28.28627
750559,58.148403
750560,6.7081814
750561,54.529003
750562,85.98328
750563,50.60307
750564,4.540512
750565,51.258183
750566,29.557491
750567,86.56257
750568,49.266396
750569,81.222694
750570,22.43672
750571,44.671333
750572,9.964512
750573,64.00395
750574,85.70121
750575,69.07495
750576,74.17261
750577,39.99908
750578,55.314697
750579,53.694756
750580,21.075665
750581,51.52712
750582,44.528885
750583,9.7534485
750584,51.310055
750585,63.537704
750586,78.93507
750587,44.290775
750588,49.203564
750589,51.392563
750590,31.17241
750591,31.06476
750592,50.10792
750593,64.86015
750594,24.310028
750595,61.389053
750596,78.45116
750597,71.702805
750598,28.655449
750599,80.408554
750600,45.74001
750601,47.3108
750602,35.69157
750603,74.644424
750604,18.727413
750605,21.686934
750606,51.624744
750607,84.5682
750608,22.986431
750609,43.30536
750610,40.836246
750611,65.42175
750612,45.833363
750613,47.18166
750614,11.1615715
750615,75.3711
750616,31.91999
750617,79.170105
750618,55.72971
750619,75.33591
750620,6.5204587
750621,60.986004
750622,19.754482
750623,58.581646
750624,57.005108
750625,81.320175
750626,11.51297
750627,29.61442
750628,70.75188
750629,32.96392
750630,9.074978
750631,21.87754
750632,71.91227
750633,45.959457
750634,83.71016
750635,73.09069
750636,42.324856
750637,47.896732
750638,20.908226
750639,77.40873
750640,60.04301
750641,32.916004
750642,83.22118
750643,26.778893
750644,85.99597
750645,61.98173
750646,18.769419
750647,59.596027
750648,48.567165
750649,69.99666
750650,65.489136
750651,41.741833
750652,45.742268
750653,15.454863
750654,2.310052
750655,54.69009
750656,19.936745
750657,17.50645
750658,58.86783
750659,44.29851
750660,51.584362
750661,18.345776
750662,79.87651
750663,31.85196
750664,59.826817
750665,40.071632
750666,36.898033
750667,68.299164
750668,16.251837
750669,22.821648
750670,40.7413
750671,65.41036
750672,23.976501
750673,33.667217
750674,59.68134
750675,20.70964
750676,89.12936
750677,99.52167
750678,81.16384
750679,15.013092
750680,31.207441
750681,5.6293883
750682,44.181484
750683,43.731976
750684,46.770565
750685,41.07559
750686,7.889524
750687,52.168056
750688,79.8341
750689,11.653206
750690,5.296365
750691,13.644985
750692,50.003002
750693,66.25615
750694,13.71438
750695,22.939777
750696,70.27978
750697,84.75571
750698,26.092161
750699,44.6592
750700,55.95865
750701,58.589733
750702,47.27361
750703,42.77688
750704,68.78529
750705,58.383286
750706,46.709885
750707,37.724533
750708,45.32031
750709,35.29868
750710,73.45102
750711,26.650473
750712,25.734905
750713,12.923489
750714,72.095024
750715,48.881084
750716,45.79441
750717,82.70575
750718,81.19272
750719,16.791952
750720,81.943954
750721,44.810364
750722,37.354687
750723,19.394575
750724,14.454002
750725,2.2627368
750726,70.87193
750727,55.148132
750728,43.994278
750729,65.136536
750730,74.52261
750731,55.663258
750732,24.552029
750733,19.944736
750734,48.358368
750735,75.22261
750736,62.26182
750737,49.917606
750738,31.892902
750739,61.431316
750740,18.952744
750741,65.14708
750742,41.065197
750743,64.30366
750744,50.678093
750745,65.79031
750746,58.426853
750747,17.814768
750748,41.8146
750749,21.395567
750750,9.085045
750751,46.578888
750752,12.334566
750753,45.52113
750754,61.987083
750755,37.25928
750756,59.653965
750757,23.376314
750758,33.988804
750759,46.003593
750760,86.337296
750761,35.395016
750762,62.213413
750763,37.375847
750764,8.079201
750765,39.85541
750766,2.3483162
750767,40.778522
750768,33.06208
750769,14.831997
750770,85.433815
750771,46.657047
750772,44.747097
750773,62.77892
750774,6.382729
750775,67.61768
750776,29.620804
750777,62.496372
750778,70.985146
750779,5.5035615
750780,43.459187
750781,42.26908
750782,35.10396
750783,15.137783
750784,44.34347
750785,10.614637
750786,40.155865
750787,30.902874
750788,41.80099
750789,59.61246
750790,4.910696
750791,25.355598
750792,14.494337
750793,7.8451653
750794,64.69843
750795,43.59389
750796,69.057976
750797,49.11122
750798,19.479528
750799,11.40583
750800,22.361168
750801,17.449368
750802,36.790432
750803,80.650215
750804,83.78148
750805,68.006294
750806,54.267826
750807,49.228703
750808,78.727356
750809,45.325233
750810,29.536213
750811,38.506298
750812,68.69191
750813,50.045353
750814,25.102955
750815,39.60722
750816,66.05946
750817,43.020443
750818,11.99868
750819,40.78302
750820,43.456074
750821,38.433334
750822,15.856726
750823,54.260746
750824,60.85899
750825,80.01229
750826,89.72872
750827,2.2646706
750828,71.46406
750829,47.703876
750830,60.434467
750831,49.008614
750832,46.15716
750833,28.40757
750834,92.63263
750835,17.764446
750836,76.5183
750837,40.94923
750838,75.75294
750839,68.2958
750840,90.88023
750841,80.20919
750842,73.46626
750843,11.901859
750844,37.36035
750845,35.648296
750846,86.43952
750847,76.3284
750848,5.7973094
750849,19.411554
750850,82.19338
750851,43.73581
750852,2.8826716
750853,89.81763
750854,57.66238
750855,52.05657
750856,48.964157
750857,38.72098
750858,83.62901
750859,26.920498
750860,35.76493
750861,33.01363
750862,44.161755
750863,45.824028
750864,31.944191
750865,63.98285
750866,47.100212
750867,5.330854
750868,61.916702
750869,75.53998
